Index,PoX Address Hash,PoX Address Version,Signer,Total uSTX,Stacker Address
0,0x0331a9de93139d147f0100f37277499e8d6e9181,0x01,0x02c770af1c0316b42d50bb2f7720f473a7393a53878a212f1f573b23b8fecc1b35,9030486000000,SP22XRPKA10DCQA77EFB596AKYTH042P1FZH0BMQZ
1,0x56520321a49a929ecf8c824fbd29757bc244ca0a,0x04,0x0321129d7a3e14cce66abef68b9a3d31d998f14e9a18b09d66aa1110fc604a3b1f,3449000000000,SP3573HMB9SPCTMT85YS85KEPYCX33E6MZGQ5QB2A
2,0x8e76a7e462760243431423b72fe9738b9ffc520d,0x04,0x03f84da5be439422d3330859de805b8f7571bcc5159df7dd110f63dd6412c36f7b,129461000000,SPHYHBQQDRZ5WGXG37VC59M094D3AATRMXSKEGY2
3,0x9ef69eacedfcb947fab37f5bf069e2eb5ae9d88e,0x00,0x0303144ba518fe7a0fb56a8a7d488f950307a4330f146e1e1458fc63fb33defe96,125000000000,
4,0xf85592b65805ef933b04237d5e373eecb3ae764d,0x01,0x0303144ba518fe7a0fb56a8a7d488f950307a4330f146e1e1458fc63fb33defe96,8390000000000,
5,0x4e60d7d36c7695c47ccde64303164d5db88a08c241cde2a538957b8958e09aee,0x06,0x03cef32afac202346ac76a28e81e77ed497c3f22ce20ac54b496950b4ef0b74b2e,125000000000,
6,0xb25617099187afde9258c109c7a5b78e7f770e89,0x04,0x02b20a0603a409270d4421d89a831e8f7b2fa7c5f2d8872d7aa94737334d10c194,125000000000,
7,0xa55584ac95d542dfeb3642b3e9c8ff1bfc624ce2,0x04,0x02c3411edce624db1371802ded43148f74e2ce052bf8d1ce0ce619df1ea919e279,125007000000,SP1AQFESNHPVX1D07QJPP5W6SQ5YD141QGWHHTJB9
8,0x86e7dad6617303942a448b7f8afe9653e5624a5e,0x00,0x02a89cb3164d3dabcb5cf8796bfc28b91fade8c71a64b5a76d94e79cd27cfa8895,10000000000000,SP1Y7GTHNJ1XWZYPP5WDGSNVAE9H5M4M2ADBG9C33
9,0x567a74418fdaca2bd45b17ec922597c03aebe0d8,0x04,0x023d6ecdc36fa1e1c6a9f116c7f13ae843001ed9d617f66f6c68cabf751bf82555,220000000000,SP2ZQDT6PPNW8FVAW44JKQ4DX2XTPR5KQPFHZV3NP
10,0xc6141e6d731af12aeec573c91f1893b83a3bd5e2,0x04,0x029e1245f007bd8f76d5ce67e759acd21f8b0f2538a80713468f7524bf3fff6136,125050000000,
11,0xda22534b48b3cbde02d7caf3daff19f2aa1008b2,0x04,0x03e0df37e83e43847625a0320456cb9758050a61ce76c2c130bf50242f27ba6d54,125050000000,
